"plot","bison_date","ungrazed"
205,1993-10-18,FALSE
206,1996-05-21,FALSE
208,1993-10-18,FALSE
220,1993-10-18,FALSE
222,1996-05-21,FALSE
226,1996-02-28,FALSE
238,1999-02-19,FALSE
244,1999-02-19,FALSE
254,NA,FALSE
259,2004-06-15,FALSE
303,NA,FALSE
307,2001-12-18,FALSE
308,NA,FALSE
309,NA,FALSE
317,2001-12-18,FALSE
319,NA,FALSE
331,NA,FALSE
343,NA,FALSE
346,2004-06-15,FALSE
350,2001-12-18,FALSE
201,1993-10-18,FALSE
202,1993-10-18,FALSE
203,1993-10-18,FALSE
204,1993-10-18,FALSE
207,1996-05-21,FALSE
209,1993-10-18,FALSE
210,1993-10-18,FALSE
211,1993-10-18,FALSE
212,1993-10-18,FALSE
213,1993-10-18,FALSE
214,1993-10-18,FALSE
216,1993-10-18,FALSE
217,1995-08-18,FALSE
218,1993-10-18,FALSE
219,1993-10-18,FALSE
221,1993-10-18,FALSE
223,1995-08-18,FALSE
224,1993-10-18,FALSE
225,1993-10-18,FALSE
227,1996-02-28,FALSE
228,1993-10-18,FALSE
229,1996-02-28,FALSE
230,1996-05-21,FALSE
231,1997-08-15,FALSE
232,1995-08-18,FALSE
233,1997-08-15,FALSE
234,1997-08-15,FALSE
235,1997-08-15,FALSE
236,1999-02-19,FALSE
237,1999-02-19,FALSE
239,1999-02-19,FALSE
240,1999-02-19,FALSE
241,1999-02-19,FALSE
242,1999-02-19,FALSE
243,NA,FALSE
245,1997-08-15,FALSE
246,1999-02-19,FALSE
247,1999-02-19,FALSE
248,NA,FALSE
249,NA,FALSE
250,NA,FALSE
251,NA,FALSE
252,1999-02-19,FALSE
253,NA,FALSE
255,NA,FALSE
256,NA,TRUE
257,NA,TRUE
258,2001-12-18,FALSE
301,NA,FALSE
302,NA,FALSE
304,2001-12-18,FALSE
305,2001-12-18,FALSE
306,2001-12-18,FALSE
310,NA,FALSE
311,NA,FALSE
312,NA,FALSE
313,NA,TRUE
314,NA,FALSE
315,2001-12-18,FALSE
316,2001-12-18,FALSE
318,NA,FALSE
320,NA,FALSE
321,NA,FALSE
322,NA,FALSE
323,NA,FALSE
324,NA,FALSE
325,NA,FALSE
326,NA,FALSE
327,NA,FALSE
328,NA,FALSE
329,NA,FALSE
330,NA,TRUE
332,NA,TRUE
333,NA,FALSE
334,NA,TRUE
335,NA,FALSE
336,NA,FALSE
337,NA,FALSE
338,2001-12-18,FALSE
339,NA,FALSE
340,NA,FALSE
341,NA,FALSE
342,NA,FALSE
344,NA,FALSE
345,2001-12-18,FALSE
347,NA,FALSE
348,NA,FALSE
349,NA,FALSE
351,NA,FALSE
352,2001-12-18,FALSE
353,2001-12-18,FALSE
354,2001-12-18,FALSE
401,2001-12-18,FALSE
402,2004-06-15,FALSE
403,2001-12-18,FALSE
404,2004-06-15,FALSE
405,2004-06-15,FALSE
406,2004-06-15,FALSE
407,2001-12-18,FALSE
408,2004-06-15,FALSE
409,2004-06-15,FALSE
410,2001-12-18,FALSE
411,2004-06-15,FALSE
412,NA,FALSE
413,NA,FALSE
414,NA,FALSE
415,2004-06-15,FALSE
501,2004-06-15,FALSE
502,2004-06-15,FALSE
503,2004-06-15,FALSE
504,2004-06-15,FALSE
505,NA,FALSE
506,NA,FALSE
507,2004-06-15,FALSE
508,2004-06-15,FALSE
509,NA,FALSE
510,NA,FALSE
511,NA,FALSE
512,NA,FALSE
513,2004-06-15,FALSE
514,2004-06-15,FALSE
515,NA,FALSE
516,NA,FALSE
517,NA,FALSE
518,NA,FALSE
519,2004-06-15,FALSE
520,2004-06-15,FALSE
521,2004-06-15,FALSE
522,2004-06-15,FALSE
523,2004-06-15,FALSE
524,2004-06-15,FALSE
