"plot","easting","northing"
205,727000,4080000
206,730000,4076000
208,728000,4078000
220,728000,4080000
222,729000,4077000
226,729000,4078000
238,732000,4075000
244,731000,4074000
254,734000,4071000
259,734000,4073000
303,731000,4082000
307,731000,4079000
308,730000,4086000
309,731000,4086000
317,733000,4079000
319,734000,4079000
331,738000,4069000
343,734000,4083000
346,734000,4074000
350,733000,4081000
201,725000,4081000
202,726000,4081000
203,725000,4080000
204,726000,4080000
207,729000,4076000
209,728000,4079000
210,726000,4079000
211,727000,4079000
212,725000,4079000
213,725000,4078000
214,725000,4077000
216,728000,4077000
217,730000,4082000
218,726000,4077000
219,726000,4078000
221,728000,4081000
223,729000,4082000
224,727000,4077000
225,727000,4078000
227,729000,4079000
228,727000,4081000
229,730000,4078000
230,728000,4076000
231,730000,4075000
232,729000,4081000
233,729000,4075000
234,730000,4073000
235,731000,4072000
236,731000,4075000
237,733000,4072000
239,732000,4072000
240,733000,4073000
241,731000,4073000
242,732000,4073000
243,734000,4072000
245,730000,4074000
246,732000,4074000
247,733000,4075000
248,735000,4072000
249,736000,4072000
250,733000,4070000
251,736000,4071000
252,733000,4074000
253,733000,4071000
255,735000,4071000
256,729000,4080000
257,730000,4081000
258,730000,4079000
301,731000,4083000
302,732000,4082000
304,731000,4081000
305,731000,4080000
306,732000,4079000
310,731000,4085000
311,732000,4086000
312,732000,4085000
313,730000,4084000
314,730000,4085000
315,732000,4080000
316,733000,4080000
318,734000,4080000
320,735000,4083000
321,734000,4084000
322,735000,4084000
323,736000,4084000
324,737000,4084000
325,736000,4070000
326,737000,4070000
327,736000,4069000
328,738000,4070000
329,737000,4069000
330,729000,4083000
332,730000,4083000
333,735000,4082000
334,729000,4084000
335,736000,4082000
336,732000,4083000
337,737000,4081000
338,730000,4080000
339,733000,4083000
340,734000,4082000
341,733000,4082000
342,735000,4081000
344,735000,4080000
345,731000,4078000
347,731000,4084000
348,733000,4084000
349,732000,4084000
351,734000,4081000
352,732000,4078000
353,732000,4077000
354,732000,4076000
401,733000,4078000
402,734000,4078000
403,733000,4077000
404,734000,4075000
405,736000,4074000
406,735000,4074000
407,733000,4076000
408,735000,4075000
409,734000,4077000
410,732000,4081000
411,734000,4076000
412,736000,4081000
413,736000,4080000
414,735000,4079000
415,735000,4078000
501,738000,4077000
502,737000,4077000
503,736000,4077000
504,737000,4078000
505,737000,4079000
506,736000,4079000
507,735000,4077000
508,735000,4076000
509,738000,4081000
510,737000,4082000
511,737000,4083000
512,736000,4083000
513,735000,4073000
514,736000,4073000
515,737000,4074000
516,737000,4080000
517,738000,4080000
518,738000,4079000
519,738000,4078000
520,736000,4078000
521,738000,4076000
522,737000,4076000
523,736000,4076000
524,736000,4075000
