"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11"
"logP",0.0918563849018427,0.402248803460708,0.3492389854615,0.325296320139454,0.462496087865688,0.36736874179947,0.448696494322384,0.069329197483782,0.147524041308298,0.144408430160349,0.0660158841196624
"logCA",0.464187272705648,-0.12790666908923,-0.0390915819588654,-0.104297074241321,0.176222729714021,-0.0262021163053245,0.024493660364086,-0.00781167792085122,0.12790443983477,0.0726963849558775,-0.837685952606009
"logMG",0.108198740694146,-0.46103025257504,0.407792521142695,-0.257646483479274,0.296072017022678,0.23151496230568,-0.0791599096584635,0.217814385463369,-0.579678334826261,-0.0407293970358358,0.10205203318208
"logK",0.366893057739572,0.258939878368328,0.0904264503072472,-0.257513193631313,0.0500261083690055,0.279906159097647,-0.341308817711766,-0.683050912624783,0.0109016347303329,-0.169073324465358,0.176761628679633
"logNA.",0.127988751503023,-0.389320607034125,0.260103034475958,0.250259718962245,-0.618458576590579,0.492277718459705,0.0937153301112258,-0.0301799586612881,0.258807833422235,0.00465645301312176,-0.0154885667590204
"logB",0.417000275914287,-0.197817590454168,-0.156711774419342,0.152119148655237,0.199900670486494,-0.13866271335207,0.0556803770083616,0.245283519273052,0.285424903818132,-0.675860435651932,0.280309678070484
"logFE",-0.299536990544476,-0.282973895523674,0.337923921593778,0.353513189567544,0.139851474308693,-0.36257774774866,0.166489489905965,-0.555430831290148,-0.0652369055759903,-0.268886703357471,-0.16504570290371
"logMN",0.341861843832135,0.282777779611477,-0.0459654415323374,-0.00107626923010196,-0.41231319316818,-0.169420769319906,0.519597665467495,-0.0468227379293101,-0.551094573236466,-0.161953588601116,-0.0154714034126959
"logCU",0.392405675403667,-0.195221904890168,0.252830574303668,-0.130953969582633,-0.0155173406570607,-0.490195189043733,0.120638529625635,-0.0802969630575788,0.238464797381919,0.534158944907949,0.350869414405286
"logZN",0.125103500060666,0.357940801909693,0.506099207309976,0.307368201785142,-0.186950598616341,-0.25434989662587,-0.539642860430477,0.297493646913343,-0.0673763894550565,-0.0916584608608962,-0.115385194825955
"logAL",-0.251554601811387,0.158946492735966,0.416479317265987,-0.654402490498459,-0.13296037051814,-0.0754394279995297,0.244871584521235,0.120042076853395,0.328506169947184,-0.307492570762655,-0.0977185149267699
